Ga0394399_contigs	Ensifer terangae SEMIA 6460
GCF_000007125.1_ASM712v1_genomic	Brucella melitensis 16M
GCF_000007505.1_ASM750v1_genomic	Brucella suis  1330
GCF_000009625.1_ASM962v1_genomic	Mesorhizobium japonicum MAFF 303099
GCF_000010525.1_ASM1052v1_genomic	Azorhizobium caulinodans ORS 571
GCF_000011365.1_ASM1136v1_genomic	Bradyrhizobium diazoefficiens  USDA 110
GCF_000012725.1_ASM1272v1_genomic	Nitrobacter winogradskyi Nb-255
GCF_000013885.1_ASM1388v1_genomic	Nitrobacter hamburgensis X14
GCF_000015445.1_ASM1544v1_genomic	Bartonella bacilliformis KC583
GCF_000016845.1_ASM1684v1_genomic	Brucella ovis ATCC 25840
GCF_000017405.1_ASM1740v1_genomic	Ochrobactrum anthropi ATCC 49188
GCF_000017565.1_ASM1756v1_genomic	Parvibaculum lavamentivorans DS-1
GCF_000017645.1_ASM1764v1_genomic	Xanthobacter autotrophicus Py2
GCF_000018525.1_ASM1852v1_genomic	Brucella canis ATCC 23365
GCF_000019725.1_ASM1972v1_genomic	Methylobacterium radiotolerans JCM 2831
GCF_000019845.1_ASM1984v1_genomic	Beijerinckia indica subsp. indica ATCC 9039
GCF_000019945.1_ASM1994v1_genomic	Methylorubrum populi BJ001
GCF_000021365.1_ASM2136v1_genomic	Oligotropha carboxidovorans  OM5
GCF_000021745.1_ASM2174v1_genomic	Methylocella silvestris BL2
GCF_000021845.1_ASM2184v1_genomic	Methylorubrum extorquens CM4
GCF_000022085.1_ASM2208v1_genomic	Methylobacterium nodulans ORS 2060
GCF_000022745.1_ASM2274v1_genomic	Brucella microti CCM 4915
GCF_000046705.1_ASM4670v1_genomic	Bartonella henselae Houston-1
GCF_000083545.1_ASM8354v1_genomic	Methylorubrum extorquens AM1
GCF_000092025.1_ASM9202v1_genomic	Agrobacterium fabrum C58
GCF_000092045.1_ASM9204v1_genomic	Rhizobium etli CFN 42
GCF_000092925.1_ASM9292v1_genomic	Starkeya novella DSM 506
GCF_000143145.1_ASM14314v1_genomic	Hyphomicrobium denitrificans ATCC 51888
GCF_000153465.1_ASM15346v1_genomic	Aurantimonas manganoxydans SI85-9A1
GCF_000153705.1_ASM15370v1_genomic	Fulvimarina pelagi HTCC2506
GCF_000154705.2_ASM15470v2_genomic	Hoeflea phototrophica DFL-43
GCF_000158715.1_ASM15871v1_genomic	Brucella neotomae  5K33
GCF_000160295.1_ASM16029v1_genomic	Brucella melitensis  bv. 1 16M
GCF_000166055.1_ASM16605v1_genomic	Rhodomicrobium vannielii ATCC 17100
GCF_000176035.2_ASM17603v2_genomic	Mesorhizobium opportunistum WSM2075
GCF_000178815.2_ASM17881v2_genomic	Methylosinus trichosporium  OB3b
GCF_000182645.1_ASM18264v1_genomic	Ochrobactrum intermedium LMG 3301
GCF_000182725.1_ASM18272v1_genomic	Brucella inopinata BO1
GCF_000196435.1_ASM19643v1_genomic	Bartonella tribocorum CIP 105476
GCF_000218565.1_ASM21856v1_genomic	Oligotropha carboxidovorans OM5
GCF_000223195.1_ASM22319v1_genomic	Brucella suis   1330
GCF_000230555.1_ASM23055v1_genomic	Pelagibacterium halotolerans B2
GCF_000230995.2_ASM23099v3_genomic	Mesorhizobium australicum WSM2073
GCF_000236565.1_ASM23656v2_genomic	Mesorhizobium alhagi CCNWXJ12-2
GCF_000250795.1_ASM25079v2_genomic	Brucella melitensis bv.  1 16M
GCF_000261485.1_05684_genomic	Ensifer sojae CCBAU 05684
GCF_000262405.1_ASM26240v1_genomic	Microvirga lotononidis WSM3557
GCF_000273375.1_ASM27337v1_genomic	Bartonella birtlesii IBS 325
GCF_000278155.1_Bart_dosh_NCTC_12862_R18_V1_genomic	Bartonella doshiae NCTC 12862 
GCF_000278215.1_Bart_ratt_15908_V1_genomic	Bartonella rattimassiliensis  15908
GCF_000278235.1_Bart_vins_OK-94-513_V1_genomic	Bartonella vinsonii subsp. arupensis OK-94-513
GCF_000278315.1_Bart_eliz_F9251_V1_genomic	Bartonella elizabethae F9251
GCF_000280015.1_Bart_alsa_IBS_382_V1_genomic	Bartonella alsatica IBS 382
